price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,list_year,list_month
75000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
80000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
75000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
76000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
90000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
85000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
80000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
95000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
78000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
70000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
80000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
160000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
65000.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
67500.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
90000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
70000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
60000.0,2,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
